Radius,V_rot,e,w
0.643,31.74,7.3385,0.0186
0.965,44.56,7.0315,0.0202
1.287,53.48,3.5824,0.0779
1.608,57.07,2.5539,0.1533
1.93,61.31,4.1813,0.0572
2.251,64.91,1.7205,0.3378
2.573,68.47,4.191,0.0569
2.895,71.62,2.2004,0.2065
3.216,75.35,1.7779,0.3164
3.538,78.25,1.6961,0.3476
3.86,80.92,1.562,0.4098
4.181,82.8,1.5015,0.4098
4.503,85.44,1.4284,0.4098
4.824,87.08,1.2996,0.4436
5.146,89.18,1.1461,0.4901
5.468,90.21,1.1413,0.5921
5.789,91.63,1.0966,0.6524
6.111,92.38,1.1007,0.6648
6.433,93.77,1.0925,0.6775
6.754,95.14,1.1136,0.703
7.076,96.99,1.1007,0.7288
7.397,97.76,1.0925,0.7613
7.719,98.48,1.0846,0.7678
8.041,98.72,1.0698,0.8316
8.362,99.41,1.0734,0.8254
8.684,100.73,1.0698,0.8378
9.006,101.88,1.0595,0.8064
9.327,103.08,1.0469,0.8254
9.649,103.88,1.0358,0.8378
9.97,104.16,1.0412,0.8501
10.292,103.26,1.0562,0.8738
10.614,102.49,1.0734,0.868
10.935,102.19,1.1049,0.8738
11.257,102.59,1.0966,0.8909
11.579,103.09,1.1092,0.9123
11.9,103.62,1.0925,0.9321
12.222,104.24,1.0925,0.9224
12.543,104.49,1.0925,0.8964
12.865,104.62,1.118,0.868
13.187,104.68,1.118,0.8191
13.508,104.89,1.118,0.8316
13.83,104.69,1.118,0.8127
14.152,104.23,1.4142,0.8378
14.473,103.51,1.4719,0.8378
14.795,103.03,1.6086,0.8378
15.116,103.6,1.1927,0.8
15.438,104.38,1.1007,0.8
15.76,105.01,1.151,0.8
16.081,104.72,1.7205,0.8
16.403,103.98,1.8446,0.5
16.725,103.4,1.5,0.4616
17.046,103.09,1.5,0.3865
17.368,99.13,2.4988,0.703
17.689,99.93,2.4988,0.8254
18.011,99.89,2.4988,0.7548
18.333,100.69,1.9465,0.3378
18.654,100.92,1.494,0.2939
18.976,101.74,1.593,0.1602
19.298,102.91,1.5,0.1602
19.619,103.5,1.5,0.1602
19.941,104.45,1.5,0.2639
20.262,102.96,1.5,0.448
20.584,102.94,1.5,0.3941
